Country,Year, Electricity/Heat  (MtCO??), Manufacturing/Construction  (MtCO??), Transportation  (MtCO??), Other Fuel Combustion  (MtCO??), Fugitive Emissions (MtCO??)
World,1982,6396.85,4471.39,3139.86,3125.94,173.5827
European Union (15),1982,1146.27,673.85,523.01,682.35,
European Union (28),1982,1589.408621,942.2453075,581.2932829,900.3157452,
Afghanistan,1983,,,,,0
Albania,1983,1.18,3.24,0.92,1.99,0
Algeria,1983,22.8,5.65,7.53,6.97,8.94717
Angola,1983,0.62,0.46,0.77,0.5,0
Antigua & Barbuda,1983,,,,,0
Argentina,1983,29.21,14.68,31.26,19.97,4.79903
Armenia,1983,,,,,0
Australia,1983,103.73,37.95,50.51,10.33,2.02197
Austria,1983,11.67,11.84,11.45,16.12,0
Azerbaijan,1983,,,,,1.593729965
Bahamas,1983,,,,,0
Bahrain,1983,5.03,2.67,0.85,0.07,0.8248
Bangladesh,1983,1.96,2.5,1.09,1.78,0
Barbados,1983,,,,,0
Belarus,1983,,,,,0
Belgium,1983,31.56,27.39,15.95,25.69,0
Belize,1983,,,,,0
Benin,1983,0.06,0.03,0.23,0.04,0
Bhutan,1983,,,,,0
Bolivia,1983,1.07,1.28,1.74,0.79,0.34465
Bosnia & Herzegovina,1983,6.5555135,5.67181262,1.69691395,3.712944785,0
Botswana,1983,0.67,0.46,0.3,0.05,0
Brazil,1983,20.43,49.67,67.98,19.9,0
Brunei,1983,2.32,0.13,0.41,0.04,0.83682
Bulgaria,1983,36.92,12.13,3.92,27.18,0
Burkina Faso,1983,,,,,0
Burundi,1983,,,,,0
Cambodia,1983,,,,,0
Cameroon,1983,0.07,0.23,1.49,0.28,4.53641
Canada,1983,112.15,80.21,107.88,84.34,3.01324
Cape Verde,1983,,,,,0
Central African Republic,1983,,,,,0
Chad,1983,,,,,0
Chile,1983,5.17,5.21,6.21,2.26,0
China,1983,370.8,711.71,91.07,366.85,2.77686
Colombia,1983,10.93,10.1,12.96,3.64,1.53616
Comoros,1983,,,,,0
Congo,1983,0,0.07,0.65,0.07,0
"Congo, Dem. Republic",1983,0.16,0.6,0.58,2.18,0
Cook Islands,1983,,,,,0
Costa Rica,1983,0.15,0.46,1.08,0.06,0
Cote d'Ivoire,1983,1.23,0.77,1.26,0.45,0
Croatia,1983,10.33135592,6.407584021,3.743346957,2.677488065,0
Cuba,1983,9.98,13.29,5.28,4.32,0
Cyprus,1983,1.12,0.69,0.7,0.14,0
Czech Republic,1983,59.54,68.85,6.36,35.7,
Denmark,1983,25.28,5.61,8.7,11.74,0.21703
Djibouti,1983,,,,,0
Dominica,1983,,,,,0
Dominican Republic,1983,3.4,1.22,1.73,0.34,0
Ecuador,1983,2.88,1.63,4.79,1.81,0.76808
Egypt,1983,14.72,20.03,9.99,11.59,1.3403
El Salvador,1983,0.14,0.49,0.84,0.15,0
Equatorial Guinea,1983,,,,,0
Eritrea,1983,,,,,
Estonia,1983,,,,,0
Ethiopia,1983,0.35,0.25,0.64,0.25,0
Fiji,1983,,,,,0
Finland,1983,11.64,14.49,8.74,8.3,0
France,1983,94.08,89.74,91.08,106.05,0
Gabon,1983,0.23,0.89,0.42,0.26,2.47481
Gambia,1983,,,,,0
Georgia,1983,,,,,0
Germany,1983,425.61,215.01,126.22,217.09,
Ghana,1983,0.07,0.29,0.99,0.29,0
Greece,1983,22.84,9.58,10.78,6.08,0
Grenada,1983,,,,,0
Guatemala,1983,0.74,0.45,1.11,0.47,0
Guinea,1983,,,,,0
Guinea-Bissau,1983,,,,,0
Guyana,1983,,,,,0
Haiti,1983,0.15,0.24,0.29,0.05,0
Honduras,1983,0.25,0.51,0.72,0.27,0
Hungary,1983,33.51,19.44,7.42,19.2,0
Iceland,1983,0.01,0.46,0.48,0.64,0
India,1983,127.65,113.64,62.78,56.91,4.64453
Indonesia,1983,14.47,23.99,19.93,18.7,8.1781
Iran,1983,23.99,27.5,28.79,43.93,23.60492
Iraq,1983,9.39,6.39,13.82,3.53,6.13576
Ireland,1983,7.49,5.45,4.15,8.04,0
Israel,1983,11.81,3.93,4.66,1.96,0
Italy,1983,115.41,78.37,73.43,74.09,0
Jamaica,1983,1.46,2.62,0.89,0.53,0
Japan,1983,323.45,238.47,151.38,126.22,0
Jordan,1983,2.01,1.13,2.33,1.01,0
Kazakhstan,1983,,,,,0
Kenya,1983,0.28,1,1.81,0.7,0
Kiribati,1983,,,,,0
Korea (North),1983,15.71,77.8,4.98,19.78,0
Korea (South),1983,43.86,28.63,15.96,48.52,0
Kuwait,1983,14.1,6.37,8.95,3.28,1.08257
Kyrgyzstan,1983,,,,,0
Laos,1983,,,,,0
Latvia,1983,,,,,0
Lebanon,1983,2.42,0.14,1.89,0.69,0
Lesotho,1983,,,,,0
Liberia,1983,,,,,0
Libya,1983,11.62,3.67,5.73,0.46,3.50541
Lithuania,1983,,,,,0
Luxembourg,1983,0.9,5.21,1.4,1.36,0
"Macedonia, FYR",1983,5.293977595,1.850333461,1.045410804,0.48335026,0
Madagascar,1983,,,,,0
Malawi,1983,,,,,0
Malaysia,1983,10.17,10.07,8.35,1.48,3.33795
Maldives,1983,,,,,0
Mali,1983,,,,,0
Malta,1983,0.6,0,0.29,0.07,0
Mauritania,1983,,,,,0
Mauritius,1983,,,,,0
Mexico,1983,68.45,72.85,66.4,24.52,8.59818
Moldova,1983,,,,,0
Mongolia,1983,,,,,0
Montenegro,1983,,,,,
Morocco,1983,5.68,4.87,2.65,2.39,0
Mozambique,1983,0.49,0.33,0.23,0.65,0
Myanmar,1983,1.21,1.95,1.82,0.07,0
Namibia,1983,,,,,
Nauru,1983,,,,,0
Nepal,1983,0.01,0.36,0.18,0.17,0
Netherlands,1983,42.53,43.24,21.98,38.9,0.04407
New Zealand,1983,4.32,4.57,6.72,2.58,0
Nicaragua,1983,0.54,0.3,0.86,0.24,0
Niger,1983,,,,,0
Nigeria,1983,8.05,5.64,15.57,4.63,22.78611
Niue,1983,,,,,0
Norway,1983,4.18,8.75,8.42,3.8,0.53273
Oman,1983,2.15,0.05,0.91,0.78,0
Pakistan,1983,6.54,12.11,8.38,6.26,0
Palau,1983,,,,,
Panama,1983,1.65,0.56,1.04,0.16,0
Papua New Guinea,1983,,,,,0
Paraguay,1983,0.06,0.12,0.99,0.08,0
Peru,1983,3.78,4.56,6.09,3.39,3.30969
Philippines,1983,11.83,8.42,10.37,3.42,0
Poland,1983,230.09,58.03,24.91,78.37,0
Portugal,1983,8.6,7.58,7.28,2.7,0
Qatar,1983,4.73,4.79,1.37,0.03,0.15465
Romania,1983,59.55,83.32,5.22,29.02,0.26341
Russian Federation,1983,,,,,17.09724004
Rwanda,1983,,,,,0
Saint Kitts & Nevis,1983,,,,,0
Saint Lucia,1983,,,,,0
Saint Vincent & Grenadines,1983,,,,,0
Samoa,1983,,,,,0
Sao Tome & Principe,1983,,,,,0
Saudi Arabia,1983,50.37,47.34,40.73,1.67,29.69315
Senegal,1983,0.67,0.37,0.73,0.12,0
Serbia,1983,34.73872561,10.22828877,3.676688596,4.959169924,0
Seychelles,1983,,,,,0
Sierra Leone,1983,,,,,0
Singapore,1983,10.51,1.16,3.37,0.3,0
Slovakia,1983,18.78,16.73,3.22,14.05,
Slovenia,1983,4.630427367,2.84198113,1.967639694,1.777046966,0
Solomon Islands,1983,,,,,0
South Africa,1983,114.22,63.24,25.91,10.08,0
Spain,1983,78.49,47.91,42.83,20.34,0
Sri Lanka,1983,1.09,0.73,2.06,0.6,0
Sudan,1983,0.28,0.79,2.56,0.15,0
Suriname,1983,,,,,0
Swaziland,1983,,,,,0
Sweden,1983,7.87,13.68,16.77,17.13,0
Switzerland,1983,1.19,9.78,11.29,16.54,0
Syria,1983,5.38,6.95,4.39,4.11,0
Taiwan,1983,25.06,27.65,10.03,8.28,0
Tajikistan,1983,,,,,0
Tanzania,1983,0.28,0.37,0.63,0.18,0
Thailand,1983,10.75,6.09,11.55,5.87,0
Togo,1983,0.04,0,0.22,0.03,0
Tonga,1983,,,,,0
Trinidad & Tobago,1983,4.26,3.14,1.61,0.18,4.42484
Tunisia,1983,3.23,2.22,2.02,1.57,0
Turkey,1983,20.75,22.46,18.68,20.8,0
Turkmenistan,1983,,,,,0
Uganda,1983,,,,,0
Ukraine,1983,,,,,0
United Arab Emirates,1983,8.18,7.23,9.19,0.1,11.13482
United Kingdom,1983,232.66,96.65,90.58,114.58,6.84833
United States of America,1983,1752.22,714.18,1236.68,631.6,5.35824
Uruguay,1983,0.35,0.89,1.48,1.01,0
Uzbekistan,1983,,,,,0
Vanuatu,1983,,,,,0
Venezuela,1983,39.6,21.85,27.63,5.18,3.57704
Vietnam,1983,4.68,6.57,1.88,4.17,0
Yemen,1983,1.02,0,2.74,0.61,0
Zambia,1983,0.23,1.57,0.75,0.29,0
Zimbabwe,1983,0.85,3.71,1.95,1.46,0
World,1983,6536.19,4410.82,3192.66,3134.67,200.34282
European Union (15),1983,1116.63,671.75,531.34,668.21,7.10943
European Union (28),1983,1571.701783,940.1895652,589.0909867,876.394535,7.37284
Afghanistan,1984,,,,,0
Albania,1984,1.22,2.97,1.31,2.04,0
Algeria,1984,20.42,6.13,8.08,7.68,7.4947
Angola,1984,0.29,0.75,0.7,0.54,0
Antigua & Barbuda,1984,,,,,0
Argentina,1984,27.13,16.45,29.73,20.37,5.35471
Armenia,1984,,,,,0
Australia,1984,106.11,39.5,52.69,10.67,0
Austria,1984,12.68,12.85,11.16,16.18,0
Azerbaijan,1984,,,,,1.624712719
Bahamas,1984,,,,,0
Bahrain,1984,5.02,2.93,0.84,0.08,0
Bangladesh,1984,2.12,2.6,1.06,1.76,0
Barbados,1984,,,,,0
Belarus,1984,,,,,0
Belgium,1984,30.58,30.18,15.98,25.89,0
Belize,1984,,,,,0
Benin,1984,0.04,0.02,0.28,0.04,0
Bhutan,1984,,,,,0
Bolivia,1984,1.17,0.9,1.7,0.78,0.24618
Bosnia & Herzegovina,1984,6.985501377,5.350409905,1.583599828,3.2518958,0
Botswana,1984,0.6,0.49,0.32,0.06,0
Brazil,1984,22.93,49.61,66.91,19.46,2.88873
Brunei,1984,2.37,0.1,0.41,0.04,0.83682
Bulgaria,1984,35.87,12.49,3.79,26.16,0
Burkina Faso,1984,,,,,0
Burundi,1984,,,,,0
Cambodia,1984,,,,,0
Cameroon,1984,0.06,0.27,1.57,0.31,4.43331
Canada,1984,121.86,86.1,111.21,82.13,3.91338
Cape Verde,1984,,,,,0
Central African Republic,1984,,,,,0
Chad,1984,,,,,0
Chile,1984,5.75,5.8,6.19,2.28,0
China,1984,402.78,781.97,97.14,395.78,0
Colombia,1984,10.96,10.15,13.36,3.53,1.418
Comoros,1984,,,,,0
Congo,1984,0,0.06,0.58,0.08,0
"Congo, Dem. Republic",1984,0.16,0.62,0.59,2.05,0
Cook Islands,1984,,,,,0
Costa Rica,1984,0.14,0.5,1.15,0.07,0
Cote d'Ivoire,1984,1.5,0.2,1.17,0.44,0
Croatia,1984,11.96963031,6.044487593,3.493379023,2.345015263,0
Cuba,1984,10.01,13.81,5.61,4.88,0
Cyprus,1984,1.14,0.73,0.76,0.14,0
Czech Republic,1984,59.96,69.17,6.78,37.23,
Denmark,1984,25.88,6.26,9.25,11.51,0.16277
Djibouti,1984,,,,,0
Dominica,1984,,,,,0
Dominican Republic,1984,3.58,1.14,1.95,0.34,0
Ecuador,1984,2.23,1.55,5.37,2.07,0.9601
Egypt,1984,16.2,22.1,11.14,12.67,0.97945
El Salvador,1984,0.14,0.52,0.87,0.12,0
Equatorial Guinea,1984,,,,,0
Eritrea,1984,,,,,
Estonia,1984,,,,,0
Ethiopia,1984,0.33,0.25,0.6,0.2,0
Fiji,1984,,,,,0
Finland,1984,13.02,14.82,9,7.6,0
France,1984,79.54,90.77,92.65,106.52,0
Gabon,1984,0.12,0.84,0.24,0.31,3.24818
Gambia,1984,,,,,0
Georgia,1984,,,,,0
Germany,1984,428.81,216.47,129.86,230.99,
Ghana,1984,0.1,0.44,0.98,0.39,0
Greece,1984,23.34,9.91,11.32,6.44,0
Grenada,1984,,,,,0
Guatemala,1984,0.97,0.44,1.21,0.49,0
Guinea,1984,,,,,0
Guinea-Bissau,1984,,,,,0
Guyana,1984,,,,,0
Haiti,1984,0.16,0.25,0.3,0.06,0
Honduras,1984,0.25,0.6,0.75,0.25,0
Hungary,1984,34.18,19.77,7.57,20,0
Iceland,1984,0.01,0.57,0.52,0.58,0
India,1984,133.5,124.52,63.66,70.09,4.58924
Indonesia,1984,18.63,22.13,20.28,18.22,7.31155
Iran,1984,27.21,29.15,31.06,46.66,11.95853
Iraq,1984,10.63,6.29,13.83,3.25,7.42321
Ireland,1984,7.79,5.89,4.07,7.1,0
Israel,1984,12.73,3.93,4.48,1.94,0
Italy,1984,113.4,80.38,76.45,78.11,0
Jamaica,1984,1.35,2.53,0.82,0.49,0
Japan,1984,352.36,252.69,156.19,137.06,0
Jordan,1984,2.67,1.02,2.26,1.05,0
Kazakhstan,1984,,,,,0
Kenya,1984,0.31,1.24,2.15,0.8,0
Kiribati,1984,,,,,0
Korea (North),1984,16.16,81.16,4.07,20.06,0
Korea (South),1984,48.88,28.44,17.55,53.99,0
Kuwait,1984,15.5,5.34,7.31,5.17,1.18567
Kyrgyzstan,1984,,,,,0
Laos,1984,,,,,0
Latvia,1984,,,,,0
Lebanon,1984,2.35,0.11,1.97,0.98,0
Lesotho,1984,,,,,0
Liberia,1984,,,,,0
Libya,1984,12.69,4.01,5.95,0.52,2.26815
Lithuania,1984,,,,,0
Luxembourg,1984,1.12,5.86,1.43,1.27,0
"Macedonia, FYR",1984,5.641219072,1.745481232,0.975601838,0.423331014,0
Madagascar,1984,,,,,0
Malawi,1984,,,,,0
Malaysia,1984,10.55,9.88,8.62,1.49,4.87855
Maldives,1984,,,,,0
Mali,1984,,,,,0
Malta,1984,0.92,0.01,0.29,0.1,0
Mauritania,1984,,,,,0
Mauritius,1984,,,,,0
Mexico,1984,74.91,71.78,69.66,25.11,5.71384
Moldova,1984,,,,,0
Mongolia,1984,,,,,0
Montenegro,1984,,,,,
Morocco,1984,6.04,4.8,2.55,2.47,0
Mozambique,1984,0.46,0.22,0.2,0.58,0
Myanmar,1984,1.47,2.03,2,0.07,0
Namibia,1984,,,,,
Nauru,1984,,,,,0
Nepal,1984,0.01,0.38,0.21,0.19,0
Netherlands,1984,45.16,44.48,22.37,39.53,0
New Zealand,1984,4.25,5.4,7.08,2.4,0
Nicaragua,1984,0.41,0.32,0.83,0.22,0
Niger,1984,,,,,0
Nigeria,1984,7.61,4.61,14.31,4.54,23.97103
Niue,1984,,,,,0
Norway,1984,4.1,9.51,8.77,3.56,0.58276
Oman,1984,2.35,0.62,1.08,1.01,1.64964
Pakistan,1984,6.77,13,9.24,6.7,0
Palau,1984,,,,,
Panama,1984,1.04,0.55,1.07,0.16,0
Papua New Guinea,1984,,,,,0
Paraguay,1984,0.06,0.11,1.13,0.09,0
Peru,1984,4.39,4.53,6.2,3.68,1.62858
Philippines,1984,9.84,7.11,9.65,2.89,0
Poland,1984,241.49,60.91,24.65,79.89,0
Portugal,1984,7.72,8.04,7.08,2.93,0
Qatar,1984,5.3,5.6,1.26,0.03,0.1031
Romania,1984,60.17,84.1,5,24.13,0
Russian Federation,1984,,,,,17.42961728
Rwanda,1984,,,,,0
Saint Kitts & Nevis,1984,,,,,0
Saint Lucia,1984,,,,,0
Saint Vincent & Grenadines,1984,,,,,0
Samoa,1984,,,,,0
Sao Tome & Principe,1984,,,,,0
Saudi Arabia,1984,54.23,21.3,46.35,1.58,27.0638
Senegal,1984,0.71,0.44,0.76,0.13,0
Serbia,1984,37.02186664,9.648685738,3.43117188,4.343372924,0
Seychelles,1984,,,,,0
Sierra Leone,1984,,,,,0
Singapore,1984,10.8,1.21,3.61,0.3,0
Slovakia,1984,18.58,18.09,3.31,14.68,
Slovenia,1984,4.941782598,2.680935533,1.836247431,1.556384998,0
Solomon Islands,1984,,,,,0
South Africa,1984,122.57,64.53,27.39,12.37,0
Spain,1984,70.57,44.93,44.41,20.57,0
Sri Lanka,1984,0.34,0.74,2.31,0.52,0
Sudan,1984,0.3,0.9,2.26,0.14,0
Suriname,1984,,,,,0
Swaziland,1984,,,,,0
Sweden,1984,9.83,13.5,17.6,13.79,0
Switzerland,1984,1.17,8.7,11.54,16.82,0
Syria,1984,6.4,7.26,4.74,4.92,0
Taiwan,1984,26.4,26.69,11.12,8.57,0
Tajikistan,1984,,,,,0
Tanzania,1984,0.28,0.35,0.63,0.19,0
Thailand,1984,11.57,6.89,13.55,5.84,0
Togo,1984,0.12,0,0.18,0.04,0
Tonga,1984,,,,,0
Trinidad & Tobago,1984,4.3,3.38,1.69,0.21,1.95516
Tunisia,1984,3.19,2.32,2.13,1.68,0
Turkey,1984,23.27,24.76,18.86,20.17,0
Turkmenistan,1984,,,,,0
Uganda,1984,,,,,0
Ukraine,1984,,,,,0
United Arab Emirates,1984,8.95,13.05,9.72,0.11,12.16589
United Kingdom,1984,220.1,92.8,94.94,110.81,6.03062
United States of America,1984,1817.07,775.17,1274.28,655.2,6.09147
Uruguay,1984,0.28,0.77,1.34,0.94,0
Uzbekistan,1984,,,,,0
Vanuatu,1984,,,,,0
Venezuela,1984,39.5,23.65,26.7,5.06,3.5184
Vietnam,1984,5.07,7.24,1.83,3.05,0
Yemen,1984,1.1,0,2.73,0.65,0
Zambia,1984,0.21,1.54,0.77,0.32,0
Zimbabwe,1984,1.83,3.16,1.8,1.4,0
World,1984,6746,4565.71,3284.38,3247.19,181.07984
European Union (15),1984,1089.54,677.14,547.57,679.24,6.19339
European Union (28),1984,1558.761413,951.1354231,605.0496265,885.4714003,6.19339
Afghanistan,1985,,,,,0
Albania,1985,1.25,2.81,1.07,2.06,0
Algeria,1985,19.65,6.68,12.28,4.83,9.29576
Angola,1985,0.35,0.91,1.03,0.6,0
Antigua & Barbuda,1985,,,,,0
Argentina,1985,25.63,15.89,26.02,20.66,5.70832
Armenia,1985,,,,,0
Australia,1985,114.33,41.72,54.21,10.73,0
Austria,1985,13,13.11,11.27,16.91,0
Azerbaijan,1985,,,,,1.733027014
Bahamas,1985,,,,,0
Bahrain,1985,5.34,4.1,0.87,0.08,0
Bangladesh,1985,2.99,2.46,1.33,2.03,0
Barbados,1985,,,,,0
Belarus,1985,,,,,0
Belgium,1985,26.39,30.01,16.37,29.15,0
Belize,1985,,,,,0
Benin,1985,0.03,0.03,0.36,0.06,0
Bhutan,1985,,,,,0
Bolivia,1985,1.09,0.7,1.72,0.78,0.19694
Bosnia & Herzegovina,1985,7.256946238,5.587785766,1.810228072,3.175508986,0
Botswana,1985,0.65,0.53,0.33,0.06,0
Brazil,1985,23.69,49.43,69.36,21.73,1.79864
Brunei,1985,2.34,0.11,0.45,0.04,0.71727
Bulgaria,1985,38.51,15.39,3.66,23.51,0
Burkina Faso,1985,,,,,0
Burundi,1985,,,,,0
Cambodia,1985,,,,,0
Cameroon,1985,0.04,0.28,1.72,0.38,3.86626
Canada,1985,120.06,86.3,113.2,82.66,4.511
Cape Verde,1985,,,,,0
Central African Republic,1985,,,,,0
Chad,1985,,,,,0
Chile,1985,5.3,5.81,6.12,2.21,0
China,1985,440.51,768.87,99.99,415.11,0
Colombia,1985,11.57,10.46,13.81,3.73,1.24075
Comoros,1985,,,,,0
Congo,1985,0,0.08,0.59,0.08,0
"Congo, Dem. Republic",1985,0.16,0.64,0.54,1.89,0
Cook Islands,1985,,,,,0
Costa Rica,1985,0.13,0.62,1.18,0.06,0
Cote d'Ivoire,1985,1.01,0.4,1.18,0.45,0
Croatia,1985,13.75161181,6.31265685,3.993314891,2.289931012,0
Cuba,1985,10.51,11.08,5.41,4.87,0
Cyprus,1985,1.17,0.68,0.79,0.14,0
Czech Republic,1985,58.38,70.15,6.66,37.95,
Denmark,1985,31.44,6.45,10.72,11.91,0.10852
Djibouti,1985,,,,,0
Dominica,1985,,,,,0
Dominican Republic,1985,3.31,0.47,1.95,0.45,0
Ecuador,1985,1.73,1.99,5.7,2.31,1.15212
Egypt,1985,18.26,22.28,11.94,12.28,1.49499
El Salvador,1985,0.2,0.48,0.95,0.14,0
Equatorial Guinea,1985,,,,,0
Eritrea,1985,,,,,
Estonia,1985,,,,,0
Ethiopia,1985,0.34,0.28,0.64,0.17,0
Fiji,1985,,,,,0
Finland,1985,17.91,13.3,9.4,7.99,0
France,1985,70.11,91.03,92.45,106.67,0
Gabon,1985,0.24,0.81,0.32,0.32,3.71161
Gambia,1985,,,,,0
Georgia,1985,,,,,0
Germany,1985,418.08,219.29,129.92,247.32,
Ghana,1985,0.13,0.26,1.25,0.53,0
Greece,1985,26.29,9.72,11.68,6.93,0
Grenada,1985,,,,,0
Guatemala,1985,1.02,0.44,1.26,0.49,0
Guinea,1985,,,,,0
Guinea-Bissau,1985,,,,,0
Guyana,1985,,,,,0
Haiti,1985,0.16,0.27,0.3,0.06,0
Honduras,1985,0.14,0.51,0.76,0.25,0
Hungary,1985,31.98,19.24,7.66,21.92,0
Iceland,1985,0.01,0.57,0.49,0.55,0
India,1985,154.92,126.71,67.71,61.64,7.46442
Indonesia,1985,20.64,28.82,20.9,17.68,6.39083
Iran,1985,29.99,31.1,34.62,50.73,10.81459
Iraq,1985,12.39,6.75,14,3.69,9.84566
Ireland,1985,8.53,5.94,4.48,7.41,0
Israel,1985,14.11,3.91,4.9,1.61,0
Italy,1985,113.58,78.19,79.21,76.51,0
Jamaica,1985,1.34,1.94,0.81,0.55,0
Japan,1985,336.69,250.66,158.05,132.67,0
Jordan,1985,2.83,1.21,2.37,1.02,0
Kazakhstan,1985,,,,,0
Kenya,1985,0.25,1.25,2.31,0.83,0
Kiribati,1985,,,,,0
Korea (North),1985,16.78,83.67,4.55,21.36,0
Korea (South),1985,47.77,28.79,19.02,57.67,0
Kuwait,1985,16.87,6.71,9.14,4.37,0.5155
Kyrgyzstan,1985,,,,,0
Laos,1985,,,,,0
Latvia,1985,,,,,0
Lebanon,1985,2.94,0.16,2.27,1.18,0
Lesotho,1985,,,,,0
Liberia,1985,,,,,0
Libya,1985,12.01,4.04,5.82,0.62,1.4434
Lithuania,1985,,,,,0
Luxembourg,1985,1.16,5.85,1.54,1.37,0
"Macedonia, FYR",1985,5.860427378,1.822921114,1.115219769,0.413386997,0
Madagascar,1985,,,,,0
Malawi,1985,,,,,0
Malaysia,1985,12.34,10.83,9.08,1.44,3.08119
Maldives,1985,,,,,0
Mali,1985,,,,,0
Malta,1985,0.95,0.01,0.14,0.05,0
Mauritania,1985,,,,,0
Mauritius,1985,,,,,0
Mexico,1985,79.45,75.9,70.22,26.04,5.58868
Moldova,1985,,,,,0
Mongolia,1985,5.58,2.91,1.24,1.87,0
Montenegro,1985,,,,,
Morocco,1985,6.03,5.25,2.58,2.62,0
Mozambique,1985,0.46,0.15,0.12,0.75,0
Myanmar,1985,1.83,2.12,1.88,0.04,0
Namibia,1985,,,,,
Nauru,1985,,,,,0
Nepal,1985,0.02,0.1,0.21,0.22,0
Netherlands,1985,45.37,42.56,22.31,43.75,0.04402
New Zealand,1985,4.73,5.46,7.18,2.25,0
Nicaragua,1985,0.44,0.29,0.81,0.25,0
Niger,1985,,,,,0
Nigeria,1985,8.86,5.08,13.5,4.94,23.71388
Niue,1985,,,,,0
Norway,1985,4.64,9.52,9.15,3.84,0.59251
Oman,1985,2.46,0.83,1.22,1.17,0.15466
Pakistan,1985,7.84,14.43,9.76,7.12,0
Palau,1985,,,,,
Panama,1985,0.79,0.62,1.09,0.17,0
Papua New Guinea,1985,,,,,0
Paraguay,1985,0.05,0.08,1.18,0.1,0
Peru,1985,3.81,4.96,5.82,3.64,1.73365
Philippines,1985,10.34,6.51,9.08,2.54,0
Poland,1985,248.26,59.97,23.92,87.33,0
Portugal,1985,6.78,8.18,6.66,3.01,0
Qatar,1985,5.51,5.31,1.24,0.19,0
Romania,1985,65.62,68.99,4.24,34.46,0
Russian Federation,1985,,,,,18.59159299
Rwanda,1985,,,,,0
Saint Kitts & Nevis,1985,,,,,0
Saint Lucia,1985,,,,,0
Saint Vincent & Grenadines,1985,,,,,0
Samoa,1985,,,,,0
Sao Tome & Principe,1985,,,,,0
Saudi Arabia,1985,59.09,18.26,43.64,1.6,5.67049
Senegal,1985,0.81,0.43,0.74,0.14,0
Serbia,1985,38.4667332,10.07675856,3.922205312,4.241347386,0
Seychelles,1985,,,,,0
Sierra Leone,1985,,,,,0
Singapore,1985,10.81,1.82,3.37,0.3,0
Slovakia,1985,18.84,17.87,3.31,14.38,
Slovenia,1985,5.144281377,2.799877706,2.099031957,1.519825619,0
Solomon Islands,1985,,,,,0
South Africa,1985,124.52,65.74,26.13,12.37,0
Spain,1985,65.51,44.5,43.95,21.27,0
Sri Lanka,1985,0.18,0.42,2.41,0.55,0
Sudan,1985,0.49,0.87,2.72,0.12,0
Suriname,1985,,,,,0
Swaziland,1985,,,,,0
Sweden,1985,13.46,13.64,18.15,13.53,0
Switzerland,1985,1.21,8.93,11.65,19.63,0
Syria,1985,5.19,7.62,4.95,3.32,0
Taiwan,1985,26.43,24.64,11.65,8.69,0
Tajikistan,1985,,,,,0
Tanzania,1985,0.28,0.42,0.64,0.19,0
Thailand,1985,14.49,7.41,14.3,5.66,0
Togo,1985,0.03,0,0.23,0.03,0
Tonga,1985,,,,,0
Trinidad & Tobago,1985,4.36,3.42,1.66,0.17,2.52113
Tunisia,1985,3.12,2.44,2.23,1.78,0
Turkey,1985,28.72,23.72,19.53,22.65,0
Turkmenistan,1985,,,,,0
Uganda,1985,,,,,0
Ukraine,1985,,,,,0
United Arab Emirates,1985,9.78,16.34,9.32,0.14,11.54727
United Kingdom,1985,233.42,93.74,96.09,121.27,4.67919
United States of America,1985,1856.66,765.69,1284.63,638.75,5.36344
Uruguay,1985,0.28,0.63,1.3,0.91,0
Uzbekistan,1985,,,,,0
Vanuatu,1985,,,,,0
Venezuela,1985,36.77,25.03,27.2,6.17,2.87336
Vietnam,1985,5.2,7.06,2.84,2.03,0
Yemen,1985,1.14,0,2.87,0.8,0
Zambia,1985,0.2,1.57,0.74,0.29,0
Zimbabwe,1985,2.75,3.28,1.88,1.68,0
World,1985,6931.91,4534.03,3331.82,3322.67,158.16468
European Union (15),1985,1091.03,675.51,554.2,715,4.83173
European Union (28),1985,1573.635893,936.9225346,610.6723468,938.5497566,4.83173
Afghanistan,1986,,,,,0
Albania,1986,1.27,2.78,1,2.17,0
Algeria,1986,23.64,5.65,12.41,5.55,11.5616
Angola,1986,0.39,0.82,1.02,0.61,0
Antigua & Barbuda,1986,,,,,0
Argentina,1986,34.42,14.23,28.39,20.05,0.3031
Armenia,1986,,,,,0
Australia,1986,114.2,41.51,55.66,10.74,0
Austria,1986,12.82,12.3,11.68,16.38,0
Azerbaijan,1986,,,,,1.50758263
Bahamas,1986,,,,,0
Bahrain,1986,6.06,4.71,0.83,0.09,0
Bangladesh,1986,3.44,2.76,1.31,2.28,0
Barbados,1986,,,,,0
Belarus,1986,,,,,0
Belgium,1986,24.91,29.22,17.85,30.58,0
Belize,1986,,,,,0
Benin,1986,0.03,0.03,0.32,0.03,0
Bhutan,1986,,,,,0
Bolivia,1986,1.18,0.55,1.72,0.69,0.19694
Bosnia & Herzegovina,1986,7.886724814,6.453520459,2.225980184,3.197502838,0
Botswana,1986,0.81,0.54,0.38,0.08,0
Brazil,1986,31.18,52.03,76.72,22.38,1.79864
Brunei,1986,2.34,0.1,0.45,0.04,0.59773
Bulgaria,1986,41.57,12.72,3.65,24.14,0
Burkina Faso,1986,,,,,0
Burundi,1986,,,,,0
Cambodia,1986,,,,,0
Cameroon,1986,0.04,0.28,1.63,0.39,6.34066
Canada,1986,115.22,85.3,113.2,79.95,4.39343
Cape Verde,1986,,,,,0
